name,n_reviews,rating,year,director,rank
Побег из Шоушенка,2726681,9.2,(1994),Frank Darabont,1
Крёстный отец,1895608,9.2,(1972),Francis Ford Coppola,2
Темный рыцарь,2699636,9.0,(2008),Christopher Nolan,3
Крёстный отец 2,1292671,9.0,(1974),Francis Ford Coppola,4
12 рaзгневанных мужчин,806444,9.0,(1957),Sidney Lumet,5
Властелин колец: Возвращение короля,1875756,8.9,(2003),Peter Jackson,7
Список Шиндлера,1376903,8.9,(1993),Steven Spielberg,6
Форрест Гамп,2120922,8.8,(1994),Robert Zemeckis,11
Криминальное чтиво,2094725,8.8,(1994),Quentin Tarantino,8
Властелин колец: Братство кольца,1904873,8.8,(2001),Peter Jackson,9
"Хороший, плохой, злой",772957,8.8,(1966),Sergio Leone,10
Начало,2396013,8.7,(2010),Christopher Nolan,14
Бойцовский клуб,2169821,8.7,(1999),David Fincher,12
Матрица,1945179,8.7,(1999),Lana Wachowski,16
Властелин колец: Две крепости,1693448,8.7,(2002),Peter Jackson,13
Звёздные войны. Эпизод 5: Империя наносит ответный удар,1312672,8.7,(1980),Irvin Kershner,15
Славные парни,1183202,8.7,(1990),Martin Scorsese,17
Интерстеллар,1888943,8.6,(2014),Christopher Nolan,25
Семь,1684953,8.6,(1995),David Fincher,19
Молчание ягнят,1457976,8.6,(1991),Jonathan Demme,22
Спасти рядового Райана,1414784,8.6,(1998),Steven Spielberg,23
Зелёная миля,1325643,8.6,(1999),Frank Darabont,27
Пролетая над гнездом кукушки,1022915,8.6,(1975),Milos Forman,18
Город Бога,767028,8.6,(2002),Fernando Meirelles,24
Жизнь прекрасна,707042,8.6,(1997),Roberto Benigni,26
Эта замечательная жизнь,469713,8.6,(1946),Frank Capra,20
Семь самураев,350995,8.6,(1954),Akira Kurosawa,21
Гладиатор,1525740,8.5,(2000),Ridley Scott,37
Звёздные войны. Эпизод 4: Новая надежда,1385053,8.5,(1977),George Lucas,28
Престиж,1355850,8.5,(2006),Christopher Nolan,41
Отступники,1347535,8.5,(2006),Martin Scorsese,39
Назад в будущее,1229028,8.5,(1985),Robert Zemeckis,30
Леон,1181351,8.5,(1994),Luc Besson,35
Американская история Икс,1137759,8.5,(1998),Tony Kaye,38
Терминатор 2: Судный день,1116560,8.5,(1991),James Cameron,29
Подозрительные лица,1099304,8.5,(1995),Bryan Singer,42
Король лев,1077614,8.5,(1994),Roger Allers,36
Одержимость,893518,8.5,(2014),Damien Chazelle,40
1+1,875619,8.5,(2011),Olivier Nakache,46
Пианист,849151,8.5,(2002),Roman Polanski,32
Паразиты,841411,8.5,(2019),Bong Joon Ho,34
Унесённые призраками,782330,8.5,(2001),Hayao Miyazaki,31
Психо,683127,8.5,(1960),Alfred Hitchcock,33
Casablanca,580480,8.5,(1942),Michael Curtiz,43
Могила светлячков,284712,8.5,(1988),Isao Takahata,44
Seppuku,60114,8.5,(1962),Masaki Kobayashi,45
Джанго освобожденный,1587379,8.4,(2012),Quentin Tarantino,55
Помни,1256754,8.4,(2000),Christopher Nolan,54
ВАЛЛ·И,1135257,8.4,(2008),Andrew Stanton,57
Мстители: Война бесконечности,1110875,8.4,(2018),Anthony Russo,63
Сияние,1041709,8.4,(1980),Stanley Kubrick,61
Индиана Джонс: В поисках утраченного ковчега,980889,8.4,(1981),Steven Spielberg,56
Чужой,897558,8.4,(1979),Ridley Scott,51
Апокалипсис сегодня,678464,8.4,(1979),Francis Ford Coppola,53
Окно во двор,499363,8.4,(1954),Alfred Hitchcock,50
Жизнь других,394951,8.4,(2006),Florian Henckel von Donnersmarck,58
Однажды на Диком Западе,335284,8.4,(1968),Sergio Leone,48
Новый кинотеатр «Парадизо»,266527,8.4,(1988),Giuseppe Tornatore,49
Новые времена,246884,8.4,(1936),Charles Chaplin,47
Великий диктатор,227526,8.4,(1940),Charles Chaplin,62
Sunset Blvd.,225667,8.4,(1950),Billy Wilder,59
Тропы славы,201156,8.4,(1957),Stanley Kubrick,60
Огни большого города,187614,8.4,(1931),Charles Chaplin,52
Свидетель обвинения,128554,8.4,(1957),Billy Wilder,64
Темный рыцарь: Возрождение легенды,1731242,8.3,(2012),Christopher Nolan,69
Бесславные ублюдки,1480499,8.3,(2009),Quentin Tarantino,71
Джокер,1336763,8.3,(2019),Todd Phillips,76
Красота по-американски,1168742,8.3,(1999),Sam Mendes,67
Мстители: Финал,1166273,8.3,(2019),Anthony Russo,78
Звёздные войны. Эпизод 6: Возвращение джедая,1070375,8.3,(1983),Richard Marquand,89
Храброе сердце,1051072,8.3,(1995),Mel Gibson,75
Бешеные псы,1036656,8.3,(1992),Quentin Tarantino,93
Вечное сияние чистого разума,1025377,8.3,(2004),Michel Gondry,91
История игрушек,1011237,8.3,(1995),John Lasseter,74
Умница Уилл Хантинг,995201,8.3,(1997),Gus Van Sant,81
Реквием по мечте,856813,8.3,(2000),Darren Aronofsky,85
История игрушек 3,849953,8.3,(2010),Lee Unkrich,87
Чужой 2,728583,8.3,(1986),James Cameron,65
2001 год: Космическая одиссея,681014,8.3,(1968),Stanley Kubrick,90
Олдбой,591736,8.3,(2003),Park Chan-wook,70
Человек-паук: Через Вселенные,553248,8.3,(2018),Bob Persichetti,66
Тайна Коко,527180,8.3,(2017),Lee Unkrich,73
"Доктор Стрейнджлав, или Как я научился не волноваться и полюбил атомную бомбу",497973,8.3,(1964),Stanley Kubrick,68
Три идиота,408353,8.3,(2009),Rajkumar Hirani,84
Амадей,407755,8.3,(1984),Milos Forman,72
Принцесса Мононоке,403547,8.3,(1997),Hayao Miyazaki,79
Однажды в Америке,358154,8.3,(1984),Sergio Leone,80
Охота,338553,8.3,(2012),Thomas Vinterberg,94
Твоё имя,280881,8.3,(2016),Makoto Shinkai,82
Подводная лодка,254459,8.3,(1981),Wolfgang Petersen,77
Поющие под дождём,247489,8.3,(1952),Stanley Donen,83
Капернаум,93830,8.3,(2018),Nadine Labaki,88
Иди и смотри,84375,8.3,(1985),Elem Klimov,92
Tengoku to jigoku,47216,8.3,(1963),Akira Kurosawa,86
Бэтмен: Начало,1494033,8.2,(2005),Christopher Nolan,127
Волк с Уолл-стрит,1449390,8.2,(2013),Martin Scorsese,132
Остров проклятых,1348561,8.2,(2010),Martin Scorsese,142
Шоу Трумана,1107779,8.2,(1998),Peter Weir,137
Вверх,1062188,8.2,(2009),Pete Docter,111
Шестое чувство,1006235,8.2,(1999),M. Night Shyamalan,141
Игры разума,945717,8.2,(2001),Ron Howard,143
Крепкий орешек,897273,8.2,(1988),John McTiernan,117
Большой куш,869412,8.2,(2000),Guy Ritchie,119
Лицо со шрамом,859111,8.2,(1983),Brian De Palma,106
Таксист,855526,8.2,(1976),Martin Scorsese,115
A Clockwork Orange,843137,8.2,(1971),Stanley Kubrick,104
Индиана Джонс и последний крестовый поход,766990,8.2,(1989),Steven Spielberg,118
Амели,766506,8.2,(2001),Jean-Pierre Jeunet,102
Цельнометаллическая оболочка,754191,8.2,(1987),Stanley Kubrick,105
Лабиринт Фавна,678091,8.2,(2006),Guillermo del Toro,139
Схватка,668810,8.2,(1995),Michael Mann,109
1917,613453,8.2,(2019),Sam Mendes,122
Нефть,598429,8.2,(2007),Paul Thomas Anderson,138
Секреты Лос-Анджелеса,590507,8.2,(1997),Curtis Hanson,116
Топ Ган: Мэверик,567409,8.2,(2022),Joseph Kosinski,123
Казино,530976,8.2,(1995),Martin Scorsese,136
Зеленая книга,512428,8.2,(2018),Peter Farrelly,133
Гражданин Кейн,448369,8.2,(1941),Orson Welles,95
Непрощенный,418598,8.2,(1992),Clint Eastwood,140
Головокружение,408866,8.2,(1958),Alfred Hitchcock,100
Бункер,360792,8.2,(2004),Oliver Hirschbiegel,124
На север через северо-запад,333087,8.2,(1959),Alfred Hitchcock,99
Убить пересмешника,320855,8.2,(1962),Robert Mulligan,110
Лоуренс Аравийский,299493,8.2,(1962),David Lean,96
В джазе только девушки,271873,8.2,(1959),Billy Wilder,129
Афера,268240,8.2,(1973),George Roy Hill,112
На несколько долларов больше,261415,8.2,(1965),Sergio Leone,126
Развод Надера и Симин,248429,8.2,(2011),Asghar Farhadi,113
Звёздочки на земле,196917,8.2,(2007),Aamir Khan,121
Дангал,195890,8.2,(2016),Nitesh Tiwari,125
Квартира,185532,8.2,(1960),Billy Wilder,101
Пожары,182340,8.2,(2010),Denis Villeneuve,108
Метрополис,177362,8.2,(1927),Fritz Lang,114
Похитители велосипедов,166579,8.2,(1948),Vittorio De Sica,120
Отец,164666,8.2,(2020),Florian Zeller,130
М убийца,160882,8.2,(1931),Fritz Lang,97
Двойная страховка,160038,8.2,(1944),Billy Wilder,103
All About Eve,133433,8.2,(1950),Joseph L. Mankiewicz,131
Малыш,128646,8.2,(1921),Charles Chaplin,128
Ран,128255,8.2,(1985),Akira Kurosawa,135
Гамильтон,99816,8.2,(2020),Thomas Kail,107
Ikiru,81081,8.2,(1952),Akira Kurosawa,98
Нюрнбергский процесс,79358,8.2,(1961),Stanley Kramer,134
«V» значит Вендетта,1135924,8.1,(2005),James McTeigue,158
Убить Билла,1134023,8.1,(2003),Quentin Tarantino,150
В поисках Немо,1060289,8.1,(2003),Andrew Stanton,154
Безумный Макс: Дорога ярости,1022820,8.1,(2015),George Miller,199
"Поймай меня, если сможешь",1011453,8.1,(2002),Steven Spielberg,173
Парк юрского периода,1007378,8.1,(1993),Steven Spielberg,144
Исчезнувшая,1002261,8.1,(2014),David Fincher,186
Старикам тут не место,994295,8.1,(2007),Ethan Coen,148
Корпорация монстров,925984,8.1,(2001),Pete Docter,203
Гарри Поттер и Дары смерти: Часть II,894459,8.1,(2011),David Yates,180
Отель «Гранд Будапешт»,831081,8.1,(2014),Wes Anderson,185
Большой Лебовски,822223,8.1,(1998),Joel Coen,207
Гран Торино,786017,8.1,(2008),Clint Eastwood,172
Человек-паук: Нет пути домой,784954,8.1,(2021),Jon Watts,153
Бегущий по лезвию,783266,8.1,(1982),Ridley Scott,177
Как приручить дракона,755827,8.1,(2010),Dean DeBlois,202
Пленницы,738027,8.1,(2013),Denis Villeneuve,169
Головоломка,730338,8.1,(2015),Pete Docter,162
12 лет рабства,712458,8.1,(2013),Steve McQueen,182
На игле,697797,8.1,(1996),Danny Boyle,166
Малышка на миллион,697007,8.1,(2004),Clint Eastwood,175
Фарго,689129,8.1,(1996),Joel Coen,171
Челюсти,619400,8.1,(1975),Steven Spielberg,205
"Карты, деньги, два ствола",592108,8.1,(1998),Guy Ritchie,160
Монти Пайтон и священный Грааль,549253,8.1,(1975),Terry Gilliam,147
По соображениям совести,543755,8.1,(2016),Mel Gibson,193
"Три билборда на границе Эббинга, Миссури",522077,8.1,(2017),Martin McDonagh,165
Общество мёртвых поэтов,505186,8.1,(1989),Peter Weir,204
Воин,479785,8.1,(2011),Gavin O'Connor,170
Нечто,435242,8.1,(1982),John Carpenter,152
Комната,429270,8.1,(2015),Lenny Abrahamson,206
Ford против Ferrari,411690,8.1,(2019),James Mangold,210
Ходячий замок,407384,8.1,(2004),Hayao Miyazaki,164
Бешеный бык,360760,8.1,(1980),Martin Scorsese,157
Мой сосед Тоторо,349301,8.1,(1988),Hayao Miyazaki,174
Охотник на оленей,345134,8.1,(1978),Michael Cimino,191
Китайский квартал,332864,8.1,(1974),Roman Polanski,156
Унесённые ветром,320988,8.1,(1939),Victor Fleming,159
Перед рассветом,317715,8.1,(1995),Richard Linklater,181
Большой побег,248410,8.1,(1963),John Sturges,149
Человек-слон,246397,8.1,(1980),David Lynch,155
Бен-Гур,243950,8.1,(1959),William Wyler,183
Мост через реку Квай,224601,8.1,(1957),David Lean,167
Тайна в его глазах,213084,8.1,(2009),Juan José Campanella,163
Дикие истории,203674,8.1,(2014),Damián Szifron,196
Воспоминания об убийстве,193221,8.1,(2003),Bong Joon Ho,195
Седьмая печать,188841,8.1,(1957),Ingmar Bergman,201
Мэри и Макс,180044,8.1,(2009),Adam Elliot,200
В случае убийства набирайте «М»,179537,8.1,(1954),Alfred Hitchcock,161
Во имя отца,178938,8.1,(1993),Jim Sheridan,190
Третий человек,174629,8.1,(1949),Carol Reed,192
Барри Линдон,172548,8.1,(1975),Stanley Kubrick,189
Расёмон,171806,8.1,(1950),Akira Kurosawa,151
Клаус,164414,8.1,(2019),Sergio Pablos,179
В порту,157842,8.1,(1954),Elia Kazan,184
The Treasure of the Sierra Madre,127136,8.1,(1948),John Huston,146
Телохранитель,125213,8.1,(1961),Akira Kurosawa,145
Мистер Смит едет в Вашингтон,117151,8.1,(1939),Frank Capra,198
The Gold Rush,113333,8.1,(1925),Charles Chaplin,178
Земляничная поляна,109418,8.1,(1957),Ingmar Bergman,187
Джон Уик 4,109212,8.1,(2023),Chad Stahelski,168
Паровоз Генерал,93373,8.1,(1926),Clyde Bruckman,188
Дети небес,76231,8.1,(1997),Majid Majidi,176
Токийская повесть,63616,8.1,(1953),Yasujirô Ozu,208
Плата за страх,62833,8.1,(1953),Henri-Georges Clouzot,194
Страсти Жанны д'Арк,56853,8.1,(1928),Carl Theodor Dreyer,209
Шерлок младший,51881,8.1,(1924),Buster Keaton,197
Пираты Карибского моря: Проклятие Чёрной жемчужины,1146569,8.0,(2003),Gore Verbinski,230
Терминатор,880359,8.0,(1984),James Cameron,217
Логан,781096,8.0,(2017),James Mangold,216
Рататуй,758789,8.0,(2007),Brad Bird,214
Суперсемейка,755185,8.0,(2004),Brad Bird,227
День сурка,646599,8.0,(1993),Harold Ramis,225
В диких условиях,632321,8.0,(2007),Sean Penn,222
Рокки,593921,8.0,(1976),John G. Avildsen,212
Гонка,488414,8.0,(2013),Ron Howard,219
В центре внимания,479474,8.0,(2015),Tom McCarthy,215
Прислуга,469450,8.0,(2011),Tate Taylor,247
Аладдин,432416,8.0,(1992),Ron Clements,248
Взвод,421334,8.0,(1986),Oliver Stone,213
Изгоняющий дьявола,417784,8.0,(1973),William Friedkin,226
Останься со мной,414153,8.0,(1986),Rob Reiner,218
Волшебник страны Оз,408004,8.0,(1939),Victor Fleming,223
Житие Брайана по Монти Пайтон,406876,8.0,(1979),Terry Jones,245
Отель «Руанда»,360602,8.0,(2004),Terry George,211
Хатико: самый верный друг,292763,8.0,(2009),Lasse Hallström,232
Танцующий с волками,274233,8.0,(1990),Kevin Costner,250
Перед закатом,271740,8.0,(2004),Richard Linklater,221
Сука любовь,244450,8.0,(2000),Alejandro G. Iñárritu,237
Звуки музыки,242873,8.0,(1965),Robert Wise,241
Стальной гигант,206651,8.0,(1999),Brad Bird,246
Да прольётся свет,205625,8.0,(2021),T.J. Gnanavel,235
Хладнокровный Люк,180587,8.0,(1967),Stuart Rosenberg,239
Ненависть,179559,8.0,(1995),Mathieu Kassovitz,228
Телесеть,162559,8.0,(1976),Sidney Lumet,220
Служанка,154983,8.0,(2016),Park Chan-wook,240
Ребекка,140116,8.0,(1940),Alfred Hitchcock,238
Персона,122653,8.0,(1966),Ingmar Bergman,244
Четыреста ударов,121312,8.0,(1959),François Truffaut,242
Это случилось однажды ночью,106646,8.0,(1934),Frank Capra,243
Гроздья гнева,95610,8.0,(1940),John Ford,233
Мой отец и мой сын,87870,8.0,(2005),Çagan Irmak,236
Лучшие годы нашей жизни,66641,8.0,(1946),William Wyler,224
La battaglia di Algeri,61991,8.0,(1966),Gillo Pontecorvo,234
To Be or Not to Be,39239,8.0,(1942),Ernst Lubitsch,229
Pather Panchali,34649,8.0,(1955),Satyajit Ray,231
Дерсу Узала,31530,8.0,(1975),Akira Kurosawa,249
